a, b, c, offset_x, offset_y, offset_z
0.017, 0.011, 0.01, 0.13153, 0.0437522, 0.0562095
0.03, 0.011, 0.01, 0.0975185, 0.0402138, 0.0691864
0.01, 0.01, 0.01, 0.148274, 0.0465808, 0.0553558
0.01, 0.01, 0.01, 0.128171, 0.0489647, 0.0858181
0.025, 0.01, 0.011, 0.0943537, 0.0455659, 0.099329
0.022, 0.017, 0.01, 0.0596854, 0.0376774, 0.0907489
0.01, 0.01, 0.01, 0.108233, 0.0497902, 0.108194
0.01, 0.01, 0.01, 0.0746182, 0.0465319, 0.122235
0.044, 0.011, 0.01, 0.0397978, 0.0387259, 0.114214
0.01, 0.01, 0.01, 0.017018, 0.0293417, 0.0871818
0.01, 0.01, 0.01, 0.045791, 0.0428173, 0.12959
0.01, 0.01, 0.01, 0.0108273, 0.0350958, 0.12213
0.01, 0.01, 0.01, -0.0123961, 0.0257072, 0.0954789
0.01, 0.01, 0.01, -0.0150446, 0.0182231, 0.0597759
0.01, 0.01, 0.01, 0.149245, 0.0467632, -0.00954781
0.01, 0.01, 0.01, 0.15258, 0.0388275, 0.0259998
0.016, 0.011, 0.013, 0.134208, 0.0285062, 0.0558939
0.047, 0.012, 0.01, 0.101116, 0.0197257, 0.0687623
0.01, 0.01, 0.01, 0.150907, 0.0315856, 0.0550454
0.01, 0.01, 0.01, 0.133034, 0.0212771, 0.0852449
0.02, 0.014, 0.01, 0.100176, 0.0124102, 0.0986427
0.064, 0.04, 0.01, 0.0648342, 0.00835797, 0.090142
0.01, 0.01, 0.01, 0.114726, 0.012813, 0.107428
0.01, 0.01, 0.01, 0.0821114, 0.00386197, 0.121352
0.032, 0.025, 0.01, 0.0466584, -0.000342054, 0.113406
0.037, 0.011, 0.014, 0.0218545, 0.00180025, 0.0866117
0.01, 0.01, 0.01, 0.053795, -0.00276155, 0.128646
0.01, 0.01, 0.01, 0.0182401, -0.00711629, 0.121256
0.01, 0.01, 0.01, -0.00697974, -0.00513621, 0.0948405
0.01, 0.01, 0.01, -0.0122704, 0.00242544, 0.0594489
0.01, 0.01, 0.01, 0.147352, 0.0579933, -0.00414454
0.01, 0.01, 0.01, 0.15299, 0.0363969, 0.0248304
0.015, 0.014, 0.01, 0.136532, 0.0147126, 0.0492573
0.029, 0.04, 0.01, 0.10424, 0.00118949, 0.0598438
0.01, 0.01, 0.01, 0.153193, 0.018019, 0.048518
0.01, 0.01, 0.01, 0.137255, -0.00377264, 0.0731925
0.023, 0.012, 0.01, 0.105231, -0.0175867, 0.08421
0.071, 0.011, 0.01, 0.0693044, -0.0181681, 0.0773792
0.01, 0.01, 0.01, 0.120364, -0.0206412, 0.0913322
0.01, 0.01, 0.01, 0.0886171, -0.0347427, 0.102778
0.038, 0.01, 0.01, 0.052615, -0.0356879, 0.0963992
0.036, 0.012, 0.01, 0.0260536, -0.0231173, 0.0746229
0.01, 0.01, 0.01, 0.0607442, -0.043998, 0.108806
0.01, 0.01, 0.01, 0.024676, -0.0453068, 0.102881
0.01, 0.01, 0.01, -0.00227718, -0.0330411, 0.0814143
0.01, 0.01, 0.01, -0.00986177, -0.0118671, 0.0525721
0.01, 0.01, 0.01, 0.14608, 0.0660644, 0.00545408
0.01, 0.01, 0.01, 0.153265, 0.0346501, 0.0227529
0.01, 0.01, 0.01, 0.138095, 0.00479928, 0.0374677
0.01, 0.01, 0.01, 0.10634, -0.0121323, 0.0440006
0.01, 0.01, 0.01, 0.15473, 0.00826875, 0.0369224
0.01, 0.01, 0.01, 0.140093, -0.0217757, 0.051782
0.01, 0.01, 0.01, 0.108629, -0.0391453, 0.0585711
0.01, 0.01, 0.01, 0.0723093, -0.0372323, 0.0547069
0.01, 0.01, 0.01, 0.124154, -0.0446846, 0.0627382
0.01, 0.01, 0.01, 0.0929903, -0.0624876, 0.0697817
0.01, 0.01, 0.01, 0.056619, -0.0610908, 0.0661885
0.01, 0.01, 0.01, 0.0288763, -0.0410254, 0.0533254
0.01, 0.01, 0.01, 0.0654155, -0.0736344, 0.0735602
0.01, 0.01, 0.01, 0.0290022, -0.0727541, 0.0702388
0.01, 0.01, 0.01, 0.000883924, -0.0530962, 0.0575634
0.01, 0.01, 0.01, -0.0082427, -0.0221391, 0.040356
