0.022 0.00298223   -11.5332    0.44513    3.64532     1.4986    1.10861   0.499617
0.774 -nan -nan -nan -nan -nan -nan  nan
0.776 -nan -nan -nan -nan -nan -nan  nan
0.778 -nan -nan -nan -nan -nan -nan  nan
0.78 -nan -nan -nan -nan -nan -nan  nan
0.782 -nan -nan -nan -nan -nan -nan  nan
0.784 -nan -nan -nan -nan -nan -nan  nan
0.786 -nan -nan -nan -nan -nan -nan  nan
0.788 -nan -nan -nan -nan -nan -nan  nan
0.79 -nan -nan -nan -nan -nan -nan  nan
0.792 -nan -nan -nan -nan -nan -nan  nan
0.794 -nan -nan -nan -nan -nan -nan  nan
0.797 -nan -nan -nan -nan -nan -nan  nan
0.798 -nan -nan -nan -nan -nan -nan  nan
0.8 -nan -nan -nan -nan -nan -nan  nan
0.802 -nan -nan -nan -nan -nan -nan  nan
0.804 -nan -nan -nan -nan -nan -nan  nan
0.806 -nan -nan -nan -nan -nan -nan  nan
0.808 -nan -nan -nan -nan -nan -nan  nan
0.811 -nan -nan -nan -nan -nan -nan  nan
0.812 -nan -nan -nan -nan -nan -nan  nan
0.814 -nan -nan -nan -nan -nan -nan  nan
0.816 -nan -nan -nan -nan -nan -nan  nan
0.818 -nan -nan -nan -nan -nan -nan  nan
0.82 -nan -nan -nan -nan -nan -nan  nan
0.822 -nan -nan -nan -nan -nan -nan  nan
0.824 -nan -nan -nan -nan -nan -nan  nan
0.826 -nan -nan -nan -nan -nan -nan  nan
0.828 -nan -nan -nan -nan -nan -nan  nan
0.83 -nan -nan -nan -nan -nan -nan  nan
0.832 -nan -nan -nan -nan -nan -nan  nan
0.834 -nan -nan -nan -nan -nan -nan  nan
0.836 -nan -nan -nan -nan -nan -nan  nan
0.838 -nan -nan -nan -nan -nan -nan  nan
0.84 -nan -nan -nan -nan -nan -nan  nan
0.842 -nan -nan -nan -nan -nan -nan  nan
0.844 -nan -nan -nan -nan -nan -nan  nan
0.846 -nan -nan -nan -nan -nan -nan  nan
0.848 -nan -nan -nan -nan -nan -nan  nan
0.85 -nan -nan -nan -nan -nan -nan  nan
0.852 -nan -nan -nan -nan -nan -nan  nan
0.854 -nan -nan -nan -nan -nan -nan  nan
0.856 -nan -nan -nan -nan -nan -nan  nan
0.858 -nan -nan -nan -nan -nan -nan  nan
0.86 -nan -nan -nan -nan -nan -nan  nan
0.862 -nan -nan -nan -nan -nan -nan  nan
0.864 -nan -nan -nan -nan -nan -nan  nan
0.866 -nan -nan -nan -nan -nan -nan  nan
0.868 -nan -nan -nan -nan -nan -nan  nan
0.87 -nan -nan -nan -nan -nan -nan  nan
0.872 -nan -nan -nan -nan -nan -nan  nan
0.874 -nan -nan -nan -nan -nan -nan  nan
0.876 -nan -nan -nan -nan -nan -nan  nan
0.878 -nan -nan -nan -nan -nan -nan  nan
0.88 -nan -nan -nan -nan -nan -nan  nan
0.882 -nan -nan -nan -nan -nan -nan  nan
0.884 -nan -nan -nan -nan -nan -nan  nan
