# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 66775
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 66775
DATA ascii
-0.016897187 -0.17559265 0.49577644
-0.015779719 -0.1750266 0.49617311
-0.014190227 -0.17402442 0.49565917
-0.013074994 -0.1734595 0.49605507
-0.011492133 -0.17246068 0.4955388
-0.0099137276 -0.17146413 0.4950209
-0.0088029206 -0.17090145 0.49541521
-0.0076921135 -0.17033875 0.49580953
-0.0061225444 -0.16934666 0.49528849
-0.0045574456 -0.16835687 0.49476591
-0.0034510791 -0.1677964 0.49515864
-0.0023446977 -0.16723597 0.49555138
-0.00078845024 -0.16625065 0.49502563
0.000315696 -0.16569135 0.49541759
0.0018652976 -0.16470936 0.49488947
0.0029672384 -0.16415116 0.49528065
0.0045101792 -0.16317257 0.49475017
0.0056098998 -0.16261551 0.49514055
0.0071461797 -0.1616403 0.49460775
0.00824368 -0.16108435 0.49499735
0.009773314 -0.1601125 0.4944621
0.011298537 -0.15914291 0.49392536
0.01281929 -0.15817554 0.49338698
0.014335632 -0.15721042 0.49284711
0.015424281 -0.15665898 0.49323356
0.016933948 -0.15569723 0.49269128
0.018439189 -0.15473773 0.49214742
0.019940019 -0.15378051 0.49160203
0.021436393 -0.15282547 0.49105498
0.022928327 -0.15187272 0.49050644
0.073698744 -0.12339665 0.49343437
0.074745268 -0.12286653 0.49380589
0.075791776 -0.1223364 0.49417737
0.076838285 -0.12180629 0.49454886
0.077884793 -0.12127618 0.49492034
0.078931302 -0.12074606 0.49529183
0.07997781 -0.12021595 0.49566332
0.081024334 -0.11968583 0.49603483
0.082070842 -0.11915572 0.49640632
0.083117351 -0.1186256 0.4967778
0.084458545 -0.11774921 0.49617568
0.085502833 -0.11722022 0.49654639
0.086547136 -0.11669123 0.4969171
0.087879434 -0.11581933 0.49631187
0.088921517 -0.11529146 0.49668178
0.090247169 -0.11442295 0.49607414
0.091287032 -0.11389621 0.49644327
0.092606038 -0.11303104 0.49583334
0.093920603 -0.11216812 0.49522179
0.095230728 -0.11130747 0.49460867
0.096263945 -0.1107841 0.49497545
0.097567424 -0.10992679 0.49436
0.14801681 -0.082007349 0.49933031
0.14885734 -0.081778586 0.50070691
0.14986394 -0.081268698 0.50106418
0.15071113 -0.081036538 0.50244308
0.15156275 -0.080802158 0.50382364
0.15241881 -0.080565527 0.50520563
0.15343207 -0.080052257 0.50556535
0.15444532 -0.079538986 0.50592506
0.15545857 -0.079025716 0.50628471
0.15661794 -0.07824143 0.5056181
0.15762897 -0.077729292 0.50597703
0.15878168 -0.076948382 0.50530803
0.1597905 -0.076437362 0.50566614
0.16093656 -0.075659804 0.50499475
0.1620782 -0.074884482 0.50432181
0.16308258 -0.074375711 0.50467837
0.16421756 -0.073603794 0.50400305
0.16521972 -0.073096141 0.50435883
0.16634804 -0.072327569 0.50368118
0.167348 -0.071821034 0.50403619
0.16834794 -0.071314514 0.50439107
0.1693479 -0.070807979 0.50474608
0.17046516 -0.070045039 0.50406444
0.17146289 -0.069539636 0.50441867
0.17246062 -0.069034219 0.50477284
0.17345835 -0.068528816 0.50512701
0.17445609 -0.068023413 0.50548118
0.17545381 -0.067518011 0.50583535
0.17645155 -0.067012593 0.50618958
0.17755103 -0.066258624 0.50550169
0.17854655 -0.065754339 0.50585508
0.17954206 -0.065250054 0.50620842
0.18053758 -0.064745784 0.50656188
0.1815331 -0.064241499 0.50691521
0.18261932 -0.063494265 0.50622261
0.18361261 -0.062991098 0.50657523
0.18460591 -0.062487945 0.50692785
0.18559922 -0.061984777 0.50728041
0.18667431 -0.061243176 0.50658393
0.1876654 -0.060741141 0.50693572
0.18865648 -0.060239106 0.5072875
0.18964756 -0.059737071 0.50763929
0.19071159 -0.059001058 0.50693882
0.19170046 -0.058500148 0.50728989
0.19268931 -0.057999231 0.50764084
0.19367819 -0.057498321 0.50799191
0.19466704 -0.056997411 0.50834292
0.19565591 -0.056496494 0.50869393
0.19664478 -0.055995576 0.509045
0.19763364 -0.055494666 0.50939602
0.19862251 -0.054993749 0.50974703
0.19961137 -0.054492839 0.5100981
0.20065102 -0.053769208 0.50938892
0.20163766 -0.053269409 0.50973916
0.20262432 -0.052769624 0.51008946
0.20361096 -0.052269831 0.51043969
0.20463951 -0.051551811 0.50972664
0.20562394 -0.051053144 0.51007605
0.20660837 -0.050554477 0.51042557
0.2075928 -0.050055809 0.51077497
0.20861027 -0.0493434 0.51005793
0.20962329 -0.048633233 0.50933945
0.2106033 -0.048136815 0.5096873
0.21160966 -0.047430009 0.50896633
0.21258745 -0.046934716 0.5093134
0.21358718 -0.0462313 0.5085901
0.21456274 -0.045737118 0.50893641
0.21555582 -0.045037061 0.50821078
0.21652916 -0.044544011 0.50855625
0.21751559 -0.043847337 0.50782824
0.21848671 -0.043355405 0.50817299
0.21945783 -0.042863473 0.50851774
